Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
3,17,53,6,1.7142857142857142,0.13020833333333331,0.21295885499997994,3.0476190476190474
4,18,60,1,1.75,0.033854166666666664,0.39999999999999997,3.2
5,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
6,18,58,4,1.65,0.07552083333333333,0.39999999999999997,3.2
7,17,58,3,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
8,18,53,4,1.7,0.11197916666666666,0.39999999999999997,3.2
9,18,60,0,1.75,0.028645833333333332,0.39999999999999997,3.2
10,17,59,3,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
11,17,56,2,1.7142857142857142,0.0703125,0.21295885499997994,3.0476190476190474
12,17,61,0,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
13,17,59,1,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
14,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
15,19,58,1,1.7894736842105263,0.049479166666666664,0.48237638894272,3.3684210526315788
16,18,59,3,1.75,0.05989583333333333,0.39999999999999997,3.2
17,17,53,4,1.6666666666666667,0.10416666666666666,0.21295885499997994,3.0476190476190474
18,17,60,3,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
19,18,58,0,1.75,0.036458333333333336,0.39999999999999997,3.2
20,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
21,18,61,1,1.75,0.026041666666666664,0.39999999999999997,3.2
22,17,56,6,1.7142857142857142,0.109375,0.21295885499997994,3.0476190476190474
23,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
24,19,58,2,1.7894736842105263,0.0546875,0.4823763889427201,3.3684210526315788
25,17,57,2,1.7142857142857142,0.0625,0.21295885499997994,3.0476190476190474
26,19,58,2,1.7894736842105263,0.05729166666666667,0.4823763889427201,3.3684210526315788
27,17,61,1,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
28,17,57,2,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
29,17,57,5,1.7142857142857142,0.08854166666666666,0.21295885499997994,3.0476190476190474
30,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
31,17,57,3,1.6666666666666667,0.07552083333333333,0.21295885499997994,3.0476190476190474
32,17,59,4,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
33,19,59,1,1.7894736842105263,0.04427083333333333,0.4823763889427201,3.3684210526315788
34,18,58,2,1.75,0.0546875,0.39999999999999997,3.2
35,18,60,1,1.75,0.0390625,0.39999999999999997,3.2
36,18,55,3,1.7,0.08072916666666666,0.39999999999999997,3.2
37,17,61,2,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
38,17,57,2,1.7142857142857142,0.0625,0.21295885499997994,3.0476190476190474
39,18,58,0,1.75,0.0390625,0.39999999999999997,3.2
40,17,62,1,1.7142857142857142,0.0234375,0.21295885499997996,3.0476190476190474
41,18,60,2,1.75,0.046875,0.39999999999999997,3.2
42,17,62,0,1.6666666666666667,0.010416666666666666,0.21295885499997994,3.0476190476190474
43,18,57,3,1.75,0.07291666666666666,0.39999999999999997,3.2
44,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
45,18,61,3,1.75,0.046875,0.39999999999999997,3.2
46,19,61,1,1.7894736842105263,0.03125,0.4823763889427201,3.3684210526315788
47,17,57,1,1.7142857142857142,0.05729166666666666,0.21295885499997994,3.0476190476190474
48,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
49,18,57,4,1.75,0.078125,0.39999999999999997,3.2
50,17,57,3,1.7142857142857142,0.07291666666666667,0.21295885499997994,3.0476190476190474
51,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
52,18,61,3,1.75,0.046875,0.39999999999999997,3.2
53,19,57,2,1.7894736842105263,0.06249999999999999,0.4823763889427201,3.3684210526315788
54,17,55,6,1.6666666666666667,0.109375,0.21295885499997994,3.0476190476190474
55,19,57,0,1.7894736842105263,0.04427083333333333,0.4823763889427201,3.3684210526315788
56,18,59,2,1.75,0.0546875,0.39999999999999997,3.2
57,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
58,18,56,2,1.75,0.07552083333333333,0.39999999999999997,3.2
59,19,60,2,1.7894736842105263,0.04427083333333333,0.4823763889427201,3.3684210526315788
60,17,52,4,1.7142857142857142,0.11458333333333331,0.21295885499997994,3.0476190476190474
61,19,61,0,1.7894736842105263,0.018229166666666664,0.4823763889427201,3.3684210526315788
62,18,56,1,1.75,0.057291666666666664,0.39999999999999997,3.2
63,17,58,2,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
64,18,56,2,1.75,0.0625,0.39999999999999997,3.2
65,18,57,1,1.75,0.05989583333333333,0.39999999999999997,3.2
66,17,57,2,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
67,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
68,19,58,0,1.7894736842105263,0.03645833333333333,0.48237638894272,3.3684210526315788
69,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
70,18,57,2,1.75,0.05989583333333333,0.39999999999999997,3.2
71,17,56,2,1.6666666666666667,0.06613756613756613,0.3086066999241838,3.0
72,17,56,2,1.6666666666666667,0.06613756613756613,0.3086066999241838,3.0
73,17,59,1,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
74,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
75,17,59,3,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
76,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
77,19,58,3,1.7894736842105263,0.06770833333333333,0.48237638894272,3.3684210526315788
78,18,58,2,1.75,0.0546875,0.39999999999999997,3.2
79,17,58,2,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
80,17,60,3,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
81,18,57,3,1.75,0.07291666666666666,0.39999999999999997,3.2
82,18,60,1,1.7,0.0390625,0.39999999999999997,3.2
83,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
84,19,59,2,1.736842105263158,0.05208333333333333,0.4823763889427201,3.3684210526315788
85,18,58,4,1.75,0.07552083333333333,0.39999999999999997,3.2
86,19,54,6,1.7894736842105263,0.11979166666666666,0.48237638894272,3.3684210526315788
87,18,59,2,1.7,0.0546875,0.39999999999999997,3.2
88,19,59,2,1.7894736842105263,0.05208333333333333,0.4823763889427201,3.3684210526315788
89,17,55,5,1.6666666666666667,0.10317460317460317,0.3086066999241838,3.0
90,18,61,2,1.75,0.0390625,0.39999999999999997,3.2
91,18,61,0,1.7,0.018229166666666664,0.39999999999999997,3.2
92,18,58,3,1.75,0.06249999999999999,0.39999999999999997,3.2
93,17,57,3,1.7142857142857142,0.07291666666666666,0.21295885499997994,3.0476190476190474
94,18,54,4,1.75,0.1015625,0.39999999999999997,3.2
95,18,58,1,1.75,0.049479166666666664,0.39999999999999997,3.2
96,18,56,1,1.7,0.05989583333333333,0.39999999999999997,3.2
97,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
98,18,60,1,1.75,0.033854166666666664,0.39999999999999997,3.2
99,18,57,5,1.75,0.08854166666666666,0.39999999999999997,3.2
100,17,56,2,1.7142857142857142,0.07552083333333333,0.21295885499997994,3.0476190476190474
101,18,55,3,1.75,0.08072916666666667,0.39999999999999997,3.2
102,19,60,3,1.7894736842105263,0.0546875,0.48237638894272,3.3684210526315788
103,17,54,1,1.7142857142857142,0.0703125,0.21295885499997994,3.0476190476190474
104,17,57,0,1.7142857142857142,0.049479166666666664,0.21295885499997994,3.0476190476190474
105,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
106,18,57,2,1.75,0.05989583333333333,0.39999999999999997,3.2
107,18,54,1,1.75,0.07291666666666666,0.39999999999999997,3.2
108,17,54,4,1.7142857142857142,0.1015625,0.21295885499997994,3.0476190476190474
109,17,59,2,1.7142857142857142,0.049479166666666664,0.21295885499997994,3.0476190476190474
110,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
111,18,54,5,1.75,0.11197916666666667,0.39999999999999997,3.2
112,19,53,3,1.7894736842105263,0.09895833333333333,0.4823763889427201,3.3684210526315788
113,17,60,3,1.7142857142857142,0.052083333333333336,0.21295885499997994,3.0476190476190474
114,17,59,3,1.7142857142857142,0.057291666666666664,0.21295885499997994,3.0476190476190474
115,18,55,5,1.75,0.10677083333333333,0.39999999999999997,3.2
