Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,59,1,1.7,0.041666666666666664,0.39999999999999997,3.2
3,19,62,1,1.7894736842105263,0.0234375,0.48237638894272,3.3684210526315788
4,17,56,3,1.7142857142857142,0.078125,0.21295885499997994,3.0476190476190474
5,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
6,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
7,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
8,18,61,1,1.75,0.03125,0.39999999999999997,3.2
9,19,60,0,1.7894736842105263,0.023437499999999997,0.4823763889427201,3.3684210526315788
10,18,60,1,1.7,0.03645833333333333,0.39999999999999997,3.2
11,18,58,3,1.7,0.06770833333333333,0.39999999999999997,3.2
12,17,57,3,1.7142857142857142,0.07291666666666666,0.21295885499997994,3.0476190476190474
13,19,57,3,1.7894736842105263,0.0703125,0.4823763889427201,3.3684210526315788
14,18,61,1,1.75,0.026041666666666664,0.39999999999999997,3.2
15,17,61,1,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
16,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
17,17,62,1,1.619047619047619,0.020833333333333332,0.21295885499997994,3.0476190476190474
18,18,54,2,1.75,0.08072916666666667,0.39999999999999997,3.2
19,18,60,2,1.75,0.046875,0.39999999999999997,3.2
20,17,61,2,1.6666666666666667,0.0390625,0.21295885499997994,3.0476190476190474
21,19,56,3,1.7894736842105263,0.07552083333333333,0.4823763889427201,3.3684210526315788
22,18,57,3,1.75,0.0703125,0.39999999999999997,3.2
23,19,60,2,1.7894736842105263,0.046875,0.4823763889427201,3.3684210526315788
24,17,58,2,1.7142857142857142,0.05729166666666666,0.21295885499997994,3.0476190476190474
25,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
26,17,56,1,1.6666666666666667,0.06510416666666666,0.21295885499997994,3.0476190476190474
27,17,59,1,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
28,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
29,18,59,3,1.75,0.057291666666666664,0.39999999999999997,3.2
30,18,57,1,1.75,0.0546875,0.39999999999999997,3.2
31,19,56,2,1.7894736842105263,0.06770833333333333,0.4823763889427201,3.3684210526315788
32,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
33,18,56,5,1.75,0.1015625,0.39999999999999997,3.2
34,17,60,1,1.7142857142857142,0.031249999999999997,0.21295885499997994,3.0476190476190474
35,18,56,3,1.75,0.078125,0.39999999999999997,3.2
36,19,56,2,1.736842105263158,0.06770833333333333,0.4823763889427201,3.3684210526315788
37,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
38,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
39,17,61,1,1.619047619047619,0.028645833333333332,0.21295885499997994,3.0476190476190474
40,18,60,0,1.75,0.028645833333333332,0.39999999999999997,3.2
41,18,60,3,1.75,0.05208333333333333,0.39999999999999997,3.2
42,17,59,1,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
43,18,60,2,1.75,0.044270833333333336,0.39999999999999997,3.2
44,17,56,0,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
45,19,63,1,1.7894736842105263,0.015625,0.4823763889427201,3.3684210526315788
46,19,54,7,1.7894736842105263,0.13020833333333331,0.4823763889427201,3.3684210526315788
47,18,56,1,1.75,0.0625,0.39999999999999997,3.2
48,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
49,17,60,4,1.7142857142857142,0.0625,0.21295885499997994,3.0476190476190474
50,18,59,1,1.75,0.041666666666666664,0.39999999999999997,3.2
51,17,54,5,1.7142857142857142,0.11458333333333333,0.21295885499997994,3.0476190476190474
52,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
53,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
54,18,57,3,1.75,0.07552083333333334,0.39999999999999997,3.2
55,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
56,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
57,19,61,0,1.7894736842105263,0.018229166666666664,0.4823763889427201,3.3684210526315788
