Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
3,17,54,3,1.7142857142857142,0.09375,0.21295885499997994,3.0476190476190474
4,17,59,1,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
5,17,60,0,1.7142857142857142,0.026041666666666664,0.21295885499997994,3.0476190476190474
6,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
7,18,62,2,1.75,0.03125,0.39999999999999997,3.2
8,18,57,1,1.75,0.05208333333333333,0.39999999999999997,3.2
9,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
10,18,60,2,1.75,0.046875,0.39999999999999997,3.2
11,18,62,1,1.7,0.020833333333333332,0.39999999999999997,3.2
12,18,62,2,1.75,0.03125,0.39999999999999997,3.2
13,18,58,2,1.75,0.052083333333333336,0.39999999999999997,3.2
14,18,59,2,1.7,0.049479166666666664,0.39999999999999997,3.2
15,17,61,2,1.7142857142857142,0.03645833333333333,0.21295885499997996,3.0476190476190474
16,18,61,2,1.75,0.036458333333333336,0.39999999999999997,3.2
17,18,61,0,1.7,0.0234375,0.39999999999999997,3.2
18,18,62,1,1.7,0.020833333333333332,0.39999999999999997,3.2
19,18,59,0,1.75,0.028645833333333332,0.39999999999999997,3.2
20,17,59,1,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
21,17,62,2,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
22,17,62,0,1.7142857142857142,0.010416666666666666,0.21295885499997994,3.0476190476190474
23,18,56,2,1.75,0.07552083333333333,0.39999999999999997,3.2
24,19,61,2,1.7894736842105263,0.03645833333333333,0.4823763889427201,3.3684210526315788
25,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
26,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
27,18,57,3,1.75,0.07552083333333333,0.39999999999999997,3.2
28,17,62,1,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
29,18,55,2,1.75,0.078125,0.39999999999999997,3.2
30,17,59,2,1.7142857142857142,0.049479166666666664,0.21295885499997994,3.0476190476190474
31,18,54,3,1.75,0.09635416666666666,0.39999999999999997,3.2
32,17,62,0,1.7142857142857142,0.013020833333333332,0.21295885499997994,3.0476190476190474
33,19,55,1,1.736842105263158,0.0582010582010582,0.5668594533825794,3.3157894736842106
34,19,60,1,1.7894736842105263,0.036458333333333336,0.4823763889427201,3.3684210526315788
35,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
36,17,58,1,1.5714285714285714,0.042328042328042326,0.3086066999241838,3.0
37,18,57,3,1.75,0.07552083333333333,0.39999999999999997,3.2
38,18,58,2,1.75,0.0546875,0.39999999999999997,3.2
39,17,59,0,1.7142857142857142,0.03645833333333333,0.21295885499997994,3.0476190476190474
40,18,56,4,1.75,0.09114583333333334,0.39999999999999997,3.2
41,17,57,1,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
42,19,61,0,1.7894736842105263,0.020833333333333332,0.4823763889427201,3.3684210526315788
43,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
44,17,55,4,1.7142857142857142,0.09114583333333333,0.21295885499997994,3.0476190476190474
45,17,58,3,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
46,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
47,18,60,1,1.75,0.031249999999999997,0.39999999999999997,3.2
48,18,59,4,1.75,0.0703125,0.39999999999999997,3.2
49,17,58,0,1.7142857142857142,0.03645833333333333,0.21295885499997994,3.0476190476190474
50,18,59,2,1.75,0.04687499999999999,0.39999999999999997,3.2
51,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
52,18,60,2,1.75,0.044270833333333336,0.39999999999999997,3.2
53,18,57,5,1.75,0.09114583333333333,0.39999999999999997,3.2
54,20,59,3,1.8333333333333333,0.05989583333333333,0.49690399499995325,3.5555555555555554
55,17,58,2,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
56,18,53,4,1.75,0.10416666666666666,0.39999999999999997,3.2
57,18,58,0,1.75,0.0390625,0.39999999999999997,3.2
58,18,61,2,1.7,0.0390625,0.39999999999999997,3.2
59,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
60,18,61,2,1.75,0.03645833333333333,0.39999999999999997,3.2
61,18,60,0,1.75,0.026041666666666664,0.39999999999999997,3.2
62,18,57,2,1.75,0.0703125,0.39999999999999997,3.2
63,17,61,2,1.6666666666666667,0.0390625,0.21295885499997994,3.0476190476190474
64,18,63,0,1.75,0.005208333333333333,0.39999999999999997,3.2
65,18,58,2,1.75,0.0546875,0.39999999999999997,3.2
66,18,56,4,1.75,0.08854166666666667,0.39999999999999997,3.2
67,19,56,1,1.7894736842105263,0.057291666666666664,0.4823763889427201,3.3684210526315788
68,18,56,1,1.75,0.06510416666666666,0.39999999999999997,3.2
69,18,59,0,1.75,0.033854166666666664,0.39999999999999997,3.2
70,17,58,3,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
71,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
72,18,57,2,1.75,0.06510416666666666,0.39999999999999997,3.2
73,19,57,2,1.7894736842105263,0.06510416666666666,0.48237638894272,3.3684210526315788
74,18,59,0,1.75,0.031249999999999997,0.39999999999999997,3.2
75,18,57,3,1.75,0.07291666666666667,0.39999999999999997,3.2
76,18,61,1,1.75,0.03125,0.39999999999999997,3.2
77,19,53,2,1.7894736842105263,0.09114583333333333,0.4823763889427201,3.3684210526315788
78,20,56,5,1.8333333333333333,0.09895833333333333,0.49690399499995325,3.5555555555555554
79,18,62,0,1.75,0.015625,0.39999999999999997,3.2
80,18,57,3,1.75,0.07552083333333333,0.39999999999999997,3.2
81,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
82,18,58,3,1.75,0.06770833333333333,0.39999999999999997,3.2
83,19,61,2,1.7894736842105263,0.036458333333333336,0.4823763889427201,3.3684210526315788
84,18,61,1,1.7,0.03125,0.39999999999999997,3.2
