Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,57,1,1.75,0.05989583333333333,0.39999999999999997,3.2
3,18,57,3,1.75,0.06770833333333333,0.39999999999999997,3.2
4,18,57,3,1.75,0.078125,0.39999999999999997,3.2
5,18,59,3,1.75,0.05729166666666667,0.39999999999999997,3.2
6,17,58,1,1.7142857142857142,0.04947916666666666,0.21295885499997994,3.0476190476190474
7,18,57,2,1.75,0.06770833333333333,0.39999999999999997,3.2
8,17,56,4,1.7142857142857142,0.0859375,0.21295885499997994,3.0476190476190474
9,18,56,3,1.75,0.07552083333333333,0.39999999999999997,3.2
10,17,58,0,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
11,17,57,3,1.7142857142857142,0.07291666666666666,0.21295885499997994,3.0476190476190474
12,18,57,4,1.75,0.078125,0.39999999999999997,3.2
13,18,60,1,1.75,0.036458333333333336,0.39999999999999997,3.2
14,19,59,1,1.7894736842105263,0.041666666666666664,0.4823763889427201,3.3684210526315788
15,17,55,4,1.7142857142857142,0.09114583333333331,0.21295885499997994,3.0476190476190474
16,18,57,2,1.75,0.06249999999999999,0.39999999999999997,3.2
17,18,61,2,1.75,0.0390625,0.39999999999999997,3.2
18,17,55,5,1.7142857142857142,0.10416666666666666,0.21295885499997994,3.0476190476190474
19,18,58,0,1.75,0.0390625,0.39999999999999997,3.2
20,19,60,1,1.7894736842105263,0.033854166666666664,0.4823763889427201,3.3684210526315788
21,18,60,0,1.75,0.0234375,0.39999999999999997,3.2
22,19,57,1,1.7894736842105263,0.0546875,0.48237638894272,3.3684210526315788
23,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
24,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
25,18,61,1,1.7,0.028645833333333332,0.39999999999999997,3.2
26,19,58,1,1.7894736842105263,0.05208333333333333,0.48237638894272,3.3684210526315788
27,18,63,0,1.75,0.005208333333333333,0.39999999999999997,3.2
28,19,63,0,1.7894736842105263,0.005208333333333333,0.4823763889427201,3.3684210526315788
29,18,58,1,1.75,0.04427083333333333,0.39999999999999997,3.2
30,17,57,4,1.7142857142857142,0.08072916666666666,0.21295885499997994,3.0476190476190474
31,18,63,1,1.75,0.015625,0.39999999999999997,3.2
