Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,18,60,0,1.75,0.028645833333333332,0.39999999999999997,3.2
3,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
4,17,60,1,1.7142857142857142,0.03645833333333333,0.21295885499997994,3.0476190476190474
5,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
6,18,55,3,1.75,0.08854166666666666,0.39999999999999997,3.2
7,17,62,1,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
8,19,54,6,1.7894736842105263,0.11979166666666666,0.4823763889427201,3.3684210526315788
9,18,58,3,1.75,0.06510416666666666,0.39999999999999997,3.2
10,19,60,3,1.7894736842105263,0.0546875,0.4823763889427201,3.3684210526315788
11,18,58,1,1.7,0.049479166666666664,0.39999999999999997,3.2
12,19,61,1,1.7894736842105263,0.028645833333333332,0.4823763889427201,3.3684210526315788
13,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
14,18,59,4,1.75,0.06770833333333334,0.39999999999999997,3.2
15,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
16,18,58,1,1.7,0.049479166666666664,0.39999999999999997,3.2
17,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
18,19,62,1,1.7894736842105263,0.020833333333333332,0.4823763889427201,3.3684210526315788
19,18,59,1,1.75,0.041666666666666664,0.39999999999999997,3.2
20,17,54,6,1.6666666666666667,0.11640211640211641,0.3086066999241838,3.0
21,18,59,3,1.7,0.05555555555555555,0.47696960070847283,3.15
22,17,63,0,1.7142857142857142,0.005208333333333333,0.21295885499997994,3.0476190476190474
23,18,56,3,1.75,0.078125,0.39999999999999997,3.2
24,19,58,2,1.7894736842105263,0.0546875,0.48237638894272,3.3684210526315788
25,19,59,3,1.7894736842105263,0.059895833333333336,0.48237638894272,3.3684210526315788
26,18,59,3,1.7,0.05555555555555555,0.47696960070847283,3.15
27,19,57,1,1.7894736842105263,0.0546875,0.4823763889427201,3.3684210526315788
28,19,57,3,1.7894736842105263,0.0703125,0.4823763889427201,3.3684210526315788
29,18,61,0,1.75,0.020833333333333332,0.39999999999999997,3.2
30,18,59,1,1.75,0.046875,0.39999999999999997,3.2
31,17,59,2,1.6666666666666667,0.05208333333333333,0.21295885499997994,3.0476190476190474
32,18,60,3,1.75,0.05208333333333333,0.39999999999999997,3.2
33,17,56,2,1.7142857142857142,0.0703125,0.21295885499997994,3.0476190476190474
34,19,55,3,1.736842105263158,0.08465608465608465,0.5668594533825794,3.3157894736842106
35,18,57,2,1.75,0.06770833333333333,0.39999999999999997,3.2
36,18,59,3,1.75,0.05729166666666666,0.39999999999999997,3.2
37,20,58,3,1.7777777777777777,0.06510416666666666,0.49690399499995325,3.5555555555555554
38,18,60,3,1.75,0.05208333333333333,0.39999999999999997,3.2
39,18,60,2,1.75,0.046875,0.39999999999999997,3.2
40,19,59,0,1.7894736842105263,0.033854166666666664,0.48237638894272,3.3684210526315788
41,18,62,2,1.75,0.03125,0.39999999999999997,3.2
