Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,17,59,1,1.6666666666666667,0.03968253968253968,0.3086066999241838,3.0
3,18,57,2,1.75,0.06770833333333334,0.39999999999999997,3.2
4,18,61,1,1.75,0.03125,0.39999999999999997,3.2
5,18,60,1,1.75,0.033854166666666664,0.39999999999999997,3.2
6,18,60,2,1.75,0.041666666666666664,0.39999999999999997,3.2
7,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
8,18,56,3,1.75,0.08072916666666666,0.39999999999999997,3.2
9,19,55,1,1.7894736842105263,0.0703125,0.4823763889427201,3.3684210526315788
10,19,59,1,1.736842105263158,0.03645833333333333,0.4823763889427201,3.3684210526315788
11,17,57,5,1.7142857142857142,0.09114583333333333,0.21295885499997994,3.0476190476190474
12,19,57,1,1.736842105263158,0.0546875,0.4823763889427201,3.3684210526315788
13,18,58,2,1.75,0.057291666666666664,0.39999999999999997,3.2
14,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
15,17,62,1,1.7142857142857142,0.0234375,0.21295885499997994,3.0476190476190474
16,19,54,3,1.7894736842105263,0.09114583333333333,0.4823763889427201,3.3684210526315788
17,18,60,3,1.75,0.0546875,0.39999999999999997,3.2
18,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
19,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
20,18,58,3,1.75,0.06770833333333333,0.39999999999999997,3.2
21,20,59,2,1.8333333333333333,0.049479166666666664,0.49690399499995325,3.5555555555555554
22,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
23,18,58,1,1.75,0.05208333333333333,0.39999999999999997,3.2
24,17,54,2,1.7142857142857142,0.0859375,0.21295885499997994,3.0476190476190474
25,18,60,0,1.75,0.023437499999999997,0.39999999999999997,3.2
26,18,57,1,1.75,0.05208333333333333,0.39999999999999997,3.2
27,17,59,1,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
28,18,59,2,1.75,0.049479166666666664,0.39999999999999997,3.2
29,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
30,17,56,2,1.7142857142857142,0.0703125,0.21295885499997994,3.0476190476190474
31,17,60,1,1.7142857142857142,0.03645833333333333,0.21295885499997994,3.0476190476190474
32,18,61,2,1.7,0.03645833333333333,0.39999999999999997,3.2
33,18,60,3,1.75,0.05208333333333333,0.39999999999999997,3.2
34,17,57,2,1.7142857142857142,0.06770833333333333,0.21295885499997994,3.0476190476190474
35,18,55,4,1.75,0.09635416666666666,0.39999999999999997,3.2
36,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
37,18,58,3,1.75,0.06770833333333333,0.39999999999999997,3.2
38,18,60,1,1.75,0.0390625,0.39999999999999997,3.2
39,19,59,0,1.736842105263158,0.023809523809523805,0.5668594533825794,3.3157894736842106
40,18,60,0,1.75,0.023437499999999997,0.39999999999999997,3.2
41,17,58,0,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
42,17,57,2,1.7142857142857142,0.06510416666666666,0.21295885499997994,3.0476190476190474
43,17,57,2,1.7142857142857142,0.06249999999999999,0.21295885499997994,3.0476190476190474
44,18,59,1,1.75,0.046875,0.39999999999999997,3.2
45,18,57,1,1.7,0.0546875,0.39999999999999997,3.2
46,19,59,2,1.7894736842105263,0.049479166666666664,0.4823763889427201,3.3684210526315788
47,18,59,3,1.75,0.057291666666666664,0.39999999999999997,3.2
48,17,61,0,1.7142857142857142,0.015625,0.21295885499997994,3.0476190476190474
49,19,61,2,1.736842105263158,0.03645833333333333,0.4823763889427201,3.3684210526315788
50,17,61,1,1.7142857142857142,0.03125,0.21295885499997994,3.0476190476190474
51,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
52,19,58,1,1.7894736842105263,0.04947916666666666,0.4823763889427201,3.3684210526315788
53,18,57,2,1.75,0.05989583333333333,0.39999999999999997,3.2
54,18,54,2,1.75,0.08333333333333333,0.39999999999999997,3.2
55,18,59,1,1.75,0.0390625,0.39999999999999997,3.2
56,19,60,1,1.7894736842105263,0.03645833333333333,0.4823763889427201,3.3684210526315788
57,18,60,1,1.75,0.036458333333333336,0.39999999999999997,3.2
58,19,59,1,1.7894736842105263,0.0390625,0.4823763889427201,3.3684210526315788
59,18,60,1,1.65,0.031746031746031744,0.47696960070847283,3.15
60,18,54,4,1.75,0.1015625,0.39999999999999997,3.2
61,17,61,2,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
62,18,55,3,1.75,0.08072916666666666,0.39999999999999997,3.2
63,18,58,2,1.75,0.05729166666666666,0.39999999999999997,3.2
64,18,60,1,1.75,0.031249999999999997,0.39999999999999997,3.2
65,17,61,1,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
