Episode,Desafios_sin_equipo,Estudiantes_fuera_preferencias,Estudiantes_primera_prioridad,Promedio_carreras_por_equipo,Satisfaccion_promedio,STD_tamano_equipos,Tamano_promedio_equipo
2,19,60,0,1.7894736842105263,0.03125,0.48237638894272,3.3684210526315788
3,17,57,0,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
4,18,58,2,1.75,0.05989583333333333,0.39999999999999997,3.2
5,17,59,1,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
6,19,56,3,1.7894736842105263,0.08333333333333334,0.4823763889427201,3.3684210526315788
7,17,57,4,1.7142857142857142,0.08072916666666666,0.21295885499997994,3.0476190476190474
8,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
9,17,61,1,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
10,19,57,0,1.7894736842105263,0.041666666666666664,0.4823763889427201,3.3684210526315788
11,18,62,2,1.75,0.03125,0.39999999999999997,3.2
12,17,59,5,1.7142857142857142,0.078125,0.21295885499997994,3.0476190476190474
13,18,59,1,1.75,0.041666666666666664,0.39999999999999997,3.2
14,18,61,1,1.7,0.026041666666666664,0.39999999999999997,3.2
15,18,61,1,1.75,0.03125,0.39999999999999997,3.2
16,17,59,3,1.7142857142857142,0.05989583333333333,0.21295885499997994,3.0476190476190474
17,18,58,0,1.75,0.041666666666666664,0.39999999999999997,3.2
18,18,60,2,1.75,0.046875,0.39999999999999997,3.2
19,18,62,0,1.75,0.010416666666666666,0.39999999999999997,3.2
20,18,60,1,1.75,0.0390625,0.39999999999999997,3.2
21,18,58,2,1.75,0.05989583333333333,0.39999999999999997,3.2
22,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
23,19,60,1,1.7894736842105263,0.033854166666666664,0.4823763889427201,3.3684210526315788
24,17,60,2,1.7142857142857142,0.04427083333333333,0.21295885499997994,3.0476190476190474
25,18,61,2,1.75,0.0390625,0.39999999999999997,3.2
26,17,60,1,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
27,18,55,3,1.75,0.08854166666666666,0.39999999999999997,3.2
28,18,61,0,1.75,0.018229166666666664,0.39999999999999997,3.2
29,19,60,0,1.7894736842105263,0.026041666666666664,0.4823763889427201,3.3684210526315788
30,18,58,2,1.75,0.05989583333333333,0.39999999999999997,3.2
31,19,58,1,1.7894736842105263,0.049479166666666664,0.48237638894272,3.3684210526315788
32,18,61,1,1.75,0.026041666666666664,0.39999999999999997,3.2
33,18,63,1,1.75,0.015625,0.39999999999999997,3.2
34,18,56,6,1.75,0.10416666666666667,0.39999999999999997,3.2
35,19,60,0,1.7894736842105263,0.0234375,0.4823763889427201,3.3684210526315788
36,17,61,2,1.6666666666666667,0.0390625,0.21295885499997994,3.0476190476190474
37,19,57,3,1.7894736842105263,0.06770833333333333,0.48237638894272,3.3684210526315788
38,17,59,1,1.7142857142857142,0.0390625,0.21295885499997994,3.0476190476190474
39,18,62,0,1.75,0.010416666666666666,0.39999999999999997,3.2
40,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
41,18,62,2,1.75,0.03125,0.39999999999999997,3.2
42,18,62,0,1.75,0.013020833333333332,0.39999999999999997,3.2
43,17,60,0,1.7142857142857142,0.028645833333333332,0.21295885499997994,3.0476190476190474
44,20,57,2,1.8333333333333333,0.06770833333333333,0.49690399499995325,3.5555555555555554
45,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
46,18,62,2,1.7,0.03125,0.39999999999999997,3.2
47,18,59,1,1.75,0.04427083333333333,0.39999999999999997,3.2
48,19,59,2,1.7894736842105263,0.052083333333333336,0.4823763889427201,3.3684210526315788
49,18,62,1,1.75,0.0234375,0.39999999999999997,3.2
50,18,63,1,1.75,0.015625,0.39999999999999997,3.2
51,17,59,1,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
52,18,61,1,1.75,0.028645833333333332,0.39999999999999997,3.2
53,19,61,1,1.7894736842105263,0.026041666666666664,0.4823763889427201,3.3684210526315788
54,19,56,1,1.736842105263158,0.06084656084656084,0.5668594533825794,3.3157894736842106
55,18,59,4,1.75,0.0703125,0.39999999999999997,3.2
56,19,63,0,1.7894736842105263,0.005208333333333333,0.4823763889427201,3.3684210526315788
57,17,53,3,1.7142857142857142,0.10416666666666666,0.21295885499997994,3.0476190476190474
58,18,60,2,1.75,0.04427083333333333,0.39999999999999997,3.2
59,19,59,2,1.7894736842105263,0.05208333333333333,0.4823763889427201,3.3684210526315788
60,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
61,19,56,3,1.7894736842105263,0.08072916666666666,0.4823763889427201,3.3684210526315788
62,20,63,0,1.8333333333333333,0.0078125,0.49690399499995325,3.5555555555555554
63,18,59,2,1.75,0.05208333333333333,0.39999999999999997,3.2
64,18,60,2,1.75,0.046875,0.39999999999999997,3.2
65,17,54,2,1.7142857142857142,0.08333333333333333,0.21295885499997994,3.0476190476190474
66,19,59,1,1.7894736842105263,0.0390625,0.4823763889427201,3.3684210526315788
67,18,59,1,1.7,0.03968253968253968,0.47696960070847283,3.15
68,17,56,1,1.6666666666666667,0.05291005291005291,0.3086066999241838,3.0
69,18,62,2,1.75,0.03125,0.39999999999999997,3.2
70,18,59,1,1.75,0.036458333333333336,0.39999999999999997,3.2
71,18,62,2,1.75,0.03125,0.39999999999999997,3.2
72,17,58,2,1.7142857142857142,0.057291666666666664,0.21295885499997994,3.0476190476190474
73,18,59,3,1.75,0.059895833333333336,0.39999999999999997,3.2
74,18,55,3,1.75,0.08854166666666666,0.39999999999999997,3.2
75,17,59,2,1.7142857142857142,0.05208333333333333,0.21295885499997994,3.0476190476190474
76,18,58,3,1.75,0.0625,0.39999999999999997,3.2
77,18,54,7,1.7,0.13020833333333331,0.39999999999999997,3.2
78,17,61,2,1.6666666666666667,0.036458333333333336,0.21295885499997994,3.0476190476190474
79,18,56,3,1.75,0.07552083333333333,0.39999999999999997,3.2
80,17,58,2,1.7142857142857142,0.0546875,0.21295885499997994,3.0476190476190474
81,18,58,1,1.75,0.049479166666666664,0.39999999999999997,3.2
82,18,56,2,1.75,0.0703125,0.39999999999999997,3.2
83,18,60,1,1.75,0.03125,0.39999999999999997,3.2
84,17,55,4,1.7142857142857142,0.09375,0.21295885499997994,3.0476190476190474
85,19,54,5,1.7894736842105263,0.11458333333333333,0.48237638894272,3.3684210526315788
86,17,62,1,1.7142857142857142,0.020833333333333332,0.21295885499997994,3.0476190476190474
87,18,61,1,1.75,0.026041666666666664,0.39999999999999997,3.2
88,18,62,0,1.75,0.015625,0.39999999999999997,3.2
89,17,60,2,1.7142857142857142,0.041666666666666664,0.21295885499997994,3.0476190476190474
90,18,56,1,1.75,0.0625,0.39999999999999997,3.2
91,19,55,7,1.7894736842105263,0.125,0.4823763889427201,3.3684210526315788
92,17,60,1,1.7142857142857142,0.033854166666666664,0.21295885499997994,3.0476190476190474
93,18,57,1,1.75,0.0546875,0.39999999999999997,3.2
94,19,57,2,1.7894736842105263,0.06510416666666666,0.4823763889427201,3.3684210526315788
95,18,60,1,1.75,0.03645833333333333,0.39999999999999997,3.2
96,18,60,2,1.75,0.046875,0.39999999999999997,3.2
97,17,62,0,1.7142857142857142,0.010416666666666666,0.21295885499997994,3.0476190476190474
98,17,62,0,1.7142857142857142,0.013020833333333332,0.21295885499997994,3.0476190476190474
