satisfaccion_promedio,estudiantes_primera_prioridad,estudiantes_fuera_preferencias,desafios_sin_equipo,std_tamano_equipos,promedio_carreras_por_equipo,total_equipos,tamano_promedio_equipo,equipos_tamano_1,equipos_tamano_2,equipos_tamano_3,equipos_tamano_4,equipos_tamano_5_o_mas,equipos_exceden_limite_carrera,simulation_size,distribution_id
0.6807909604519775,30,7,19,0.5520046569316588,1.631578947368421,19,3.1052631578947367,0,2,13,4,0,0,1,0
0.711111111111111,33,6,17,0.5593971487843206,1.5714285714285714,21,2.857142857142857,1,2,17,1,0,0,10,0
0.609375,31,16,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,100,0
0.6302083333333334,31,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,0
0.6484375,33,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1,1
0.6666666666666666,32,10,18,0.6324555320336759,1.6,20,3.0,0,4,12,4,0,0,10,1
0.6510416666666667,33,13,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,1
0.6614583333333334,33,11,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,1
0.675,32,10,19,0.48808518397345807,1.6842105263157894,19,3.1578947368421053,0,1,14,4,0,0,1,2
0.6432291666666666,33,14,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,10,2
0.6536458333333334,32,11,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,100,2
0.6510416666666667,33,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,2
0.6555555555555554,31,11,19,0.4880851839734581,1.6842105263157894,19,3.1578947368421053,0,1,14,4,0,0,1,3
0.6497175141242938,30,11,18,0.3840572873934304,1.6,20,2.95,0,2,17,1,0,0,10,3
0.6536458333333333,33,12,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,3
0.6432291666666667,32,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,3
0.6916666666666667,33,9,19,0.4880851839734581,1.631578947368421,19,3.1578947368421053,0,1,14,4,0,0,1,4
0.640625,33,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,4
0.6875,35,10,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,100,4
0.6458333333333334,32,12,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,4
0.6614583333333334,33,11,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,5
0.6614583333333333,33,11,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,10,5
0.6666666666666667,34,12,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,5
0.6692708333333334,33,10,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,5
0.6927083333333334,35,9,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1,6
0.6536458333333333,33,12,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,10,6
0.6119791666666666,29,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,100,6
0.6484375,32,12,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,6
0.6583333333333333,31,11,18,0.31622776601683794,1.65,20,3.0,0,1,18,1,0,0,1,7
0.6432291666666667,33,14,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,10,7
0.65625,34,13,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,100,7
0.5859375,28,16,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,1000,7
0.6416666666666667,29,11,18,0.31622776601683794,1.65,20,3.0,0,1,18,1,0,0,1,8
0.7076023391812865,31,5,19,0.7254762501100116,1.4736842105263157,19,3.0,1,2,12,4,0,0,10,8
0.6458333333333333,32,12,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,8
0.6328125,32,14,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,8
0.7005649717514123,32,7,18,0.3840572873934304,1.6,20,2.95,0,2,17,1,0,0,1,9
0.6751412429378532,32,10,20,0.6502611061510902,1.6111111111111112,18,3.2777777777777777,0,2,9,7,0,0,10,9
0.6888888888888888,32,8,19,0.48808518397345807,1.6842105263157894,19,3.1578947368421053,0,1,14,4,0,0,100,9
0.6692708333333334,33,10,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,9
