satisfaccion_promedio,estudiantes_primera_prioridad,estudiantes_fuera_preferencias,desafios_sin_equipo,std_tamano_equipos,promedio_carreras_por_equipo,total_equipos,tamano_promedio_equipo,equipos_tamano_1,equipos_tamano_2,equipos_tamano_3,equipos_tamano_4,equipos_tamano_5_o_mas,equipos_exceden_limite_carrera,simulation_size,distribution_id
0.6120689655172413,31,17,18,0.5385164807134504,1.65,20,2.9,1,1,17,1,0,0,1,0
0.6692708333333333,38,15,19,0.48237638894272,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,0
0.6458333333333333,37,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,0
0.6510416666666666,35,14,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,0
0.5833333333333334,33,21,17,0.21295885499997994,1.6666666666666667,21,3.0476190476190474,0,0,20,1,0,0,1,1
0.6458333333333333,36,16,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,10,1
0.6692708333333334,38,15,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,1
0.6536458333333334,36,14,19,0.48237638894272,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,1
0.6041666666666667,35,21,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1,2
0.6041666666666667,34,19,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,10,2
0.6276041666666666,35,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,2
0.625,35,18,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,2
0.5729166666666667,31,20,20,0.49690399499995325,1.8333333333333333,18,3.5555555555555554,0,0,8,10,0,0,1,3
0.6588541666666666,38,16,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,3
0.5989583333333333,34,20,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,100,3
0.640625,38,19,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,1000,3
0.6276041666666667,35,17,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,1,4
0.6822916666666667,38,13,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,10,4
0.6901041666666666,38,12,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,100,4
0.6953125,39,12,19,0.48237638894272,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,1000,4
0.6276041666666666,35,17,17,0.21295885499997994,1.7142857142857142,21,3.0476190476190474,0,0,20,1,0,0,1,5
0.6171875,35,19,17,0.21295885499997994,1.7142857142857142,21,3.0476190476190474,0,0,20,1,0,0,10,5
0.5911458333333334,31,17,18,0.39999999999999997,1.75,20,3.2,0,0,16,4,0,0,100,5
0.6510416666666666,36,15,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,5
0.6328125,36,17,17,0.21295885499997994,1.6666666666666667,21,3.0476190476190474,0,0,20,1,0,0,1,6
0.6953125,38,11,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,6
0.640625,35,15,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,6
0.6666666666666666,35,11,19,0.48237638894272,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,6
0.7366666666666667,32,8,19,0.665742665298606,1.4210526315789473,19,2.6315789473684212,2,3,14,0,0,0,1,7
0.6744791666666666,39,16,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,7
0.6927083333333333,38,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,7
0.6770833333333333,37,14,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,7
0.6770833333333333,38,14,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,8
0.6875,39,14,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,8
0.6901041666666666,39,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,8
0.703125,40,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,8
0.6276041666666667,35,17,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1,9
0.6432291666666666,37,17,17,0.21295885499997994,1.7142857142857142,21,3.0476190476190474,0,0,20,1,0,0,10,9
0.6979166666666666,40,13,17,0.21295885499997994,1.7142857142857142,21,3.0476190476190474,0,0,20,1,0,0,100,9
0.7161458333333333,41,12,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,1000,9
