satisfaccion_promedio,estudiantes_primera_prioridad,estudiantes_fuera_preferencias,desafios_sin_equipo,std_tamano_equipos,promedio_carreras_por_equipo,total_equipos,tamano_promedio_equipo,equipos_tamano_1,equipos_tamano_2,equipos_tamano_3,equipos_tamano_4,equipos_tamano_5_o_mas,equipos_exceden_limite_carrera,simulation_size,distribution_id
0.7017543859649122,34,10,17,0.5471012044321932,1.380952380952381,21,2.7142857142857144,0,7,13,1,0,0,1,0
0.734375,44,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,0
0.6822916666666666,38,14,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,0
0.7135416666666666,40,12,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,0
0.7291666666666666,35,9,18,0.6782329983125268,1.25,20,2.8,2,1,16,1,0,0,1,1
0.7109375,42,14,19,0.48237638894272,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,10,1
0.6875,38,13,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,1
0.7083333333333333,40,13,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,1
0.6484375,36,17,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1,2
0.703125,42,15,19,0.48237638894272,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,10,2
0.6901041666666666,41,15,19,0.4823763889427201,1.7894736842105263,19,3.3684210526315788,0,0,12,7,0,0,100,2
0.7135416666666666,40,12,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,2
0.7083333333333333,35,11,19,0.39385867229199384,1.368421052631579,19,2.9473684210526314,0,2,16,1,0,0,1,3
0.703125,39,12,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,3
0.7083333333333333,40,13,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,100,3
0.6979166666666666,39,13,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,3
0.6845238095238094,33,12,19,0.39385867229199384,1.368421052631579,19,2.9473684210526314,0,2,16,1,0,0,1,4
0.7083333333333333,40,13,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,10,4
0.7083333333333334,39,11,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,4
0.6979166666666666,39,13,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,4
0.6822916666666667,38,13,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,5
0.6815476190476192,33,12,18,0.39999999999999997,1.35,20,2.8,0,4,16,0,0,0,10,5
0.7005208333333334,39,12,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,5
0.703125,40,13,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,5
0.7291666666666666,35,9,18,0.6782329983125268,1.25,20,2.8,2,1,16,1,0,0,1,6
0.671875,38,15,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,6
0.6770833333333333,38,14,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,6
0.7083333333333334,39,11,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,6
0.7261904761904762,35,9,18,0.6,1.3,20,2.8,1,3,15,1,0,0,1,7
0.7053571428571429,34,10,18,0.5099019513592784,1.35,20,2.8,0,5,14,1,0,0,10,7
0.6822916666666666,38,14,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,7
0.7135416666666666,40,12,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,7
0.6904761904761906,33,11,18,0.5099019513592784,1.35,20,2.8,0,5,14,1,0,0,1,8
0.7514619883040936,38,8,18,0.3570714214271425,1.4,20,2.85,0,3,17,0,0,0,10,8
0.7265625,43,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,8
0.7135416666666666,40,12,18,0.39999999999999997,1.65,20,3.2,0,0,16,4,0,0,1000,8
0.7023809523809523,34,11,19,0.39385867229199384,1.368421052631579,19,2.9473684210526314,0,2,16,1,0,0,1,9
0.7363636363636363,34,7,19,0.44659375653887207,1.3157894736842106,19,2.8947368421052633,0,3,15,1,0,0,10,9
0.7265625,43,13,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,9
0.7083333333333334,39,11,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,9
