Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7,Reward
87,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
88,0.0,0.0,100.0,5.26,94.74,0.5,0.32,-64
89,0.0,0.0,100.0,0.0,94.74,0.5,0.29,-64
90,0.0,0.0,100.0,5.26,92.11,0.4714045207910317,0.47,-64
91,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
92,0.78,0.0,98.44,0.0,97.37,0.0,0.16,-62.0
93,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
94,0.0,0.0,100.0,0.0,94.74,0.5,0.32,-64
95,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
96,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
97,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
98,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
99,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
100,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
101,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
102,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
103,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
104,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
105,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
106,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
107,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
108,0.0,0.0,100.0,0.0,97.37,0.0,0.11,-64
109,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
110,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
111,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
112,0.0,0.0,100.0,2.63,94.74,0.5,0.32,-64
113,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
114,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
115,0.0,0.0,100.0,2.63,97.37,0.0,0.16,-64
116,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
117,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
118,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
119,0.52,0.0,98.44,2.63,97.37,0.0,0.11,-62.266666666666666
120,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
121,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
122,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
123,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
124,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
125,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
126,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
127,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
128,0.0,0.0,100.0,2.63,97.37,0.0,0.16,-64
129,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
130,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
131,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
132,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
133,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
134,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
135,0.0,0.0,100.0,0.0,94.74,1.0,0.32,-64
136,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
137,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
138,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
139,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
140,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
141,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
142,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
143,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
144,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
145,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
146,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
147,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
148,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
149,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
150,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
151,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
152,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
153,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
154,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
155,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
156,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
157,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
158,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
159,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
160,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
161,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
162,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
163,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
164,0.78,0.0,98.44,2.63,97.37,0.0,0.11,-62.0
165,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
166,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
167,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
168,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
169,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
170,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
171,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
172,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
173,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
174,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
175,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
176,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
177,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
178,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
179,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
180,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
181,0.0,0.0,100.0,0.0,97.37,0.0,0.13,-64
182,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
183,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
184,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
185,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
186,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
187,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
188,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
189,0.0,0.0,100.0,2.63,97.37,0.0,0.16,-64
190,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
191,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
192,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
193,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
194,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
195,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
196,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
197,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
198,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
199,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
200,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
201,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
202,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
203,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
204,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
205,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
206,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
207,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
208,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
209,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
210,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
211,0.0,0.0,100.0,0.0,97.37,0.0,0.16,-64
212,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
213,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
214,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
215,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
216,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
217,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
218,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
219,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
220,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
