satisfaccion_promedio,estudiantes_primera_prioridad,estudiantes_fuera_preferencias,desafios_sin_equipo,std_tamano_equipos,promedio_carreras_por_equipo,total_equipos,tamano_promedio_equipo,equipos_tamano_1,equipos_tamano_2,equipos_tamano_3,equipos_tamano_4,equipos_tamano_5_o_mas,equipos_exceden_limite_carrera,simulation_size,distribution_id
0.5651041666666667,32,22,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,0
0.6614583333333334,37,15,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,0
0.6145833333333334,35,19,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,0
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,0
0.6145833333333333,35,19,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,1
0.6354166666666667,37,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,1
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,1
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,1
0.6041666666666667,35,21,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,2
0.6458333333333333,37,17,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,10,2
0.6354166666666666,36,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,2
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,2
0.6145833333333333,36,20,20,0.49690399499995325,1.7777777777777777,18,3.5555555555555554,0,0,8,10,0,0,1,3
0.6510416666666667,37,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,3
0.6666666666666666,39,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,3
0.6171875,35,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,3
0.6302083333333333,36,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,4
0.609375,34,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,4
0.6510416666666666,38,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,4
0.6171875,35,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,4
0.6067708333333333,35,20,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,5
0.65625,37,15,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,5
0.6171875,35,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,5
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,5
0.640625,38,19,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,6
0.6276041666666666,36,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,6
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,6
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,6
0.6328125,36,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,7
0.6223958333333334,36,19,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,7
0.6640625,38,16,18,0.39999999999999997,1.7,20,3.2,0,0,16,4,0,0,100,7
0.6666666666666667,39,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,7
0.6015625,34,20,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,8
0.6510416666666666,37,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,8
0.6328125,36,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,8
0.6171875,35,18,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,8
0.5859375,33,21,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1,9
0.6458333333333333,37,17,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,10,9
0.6588541666666667,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,100,9
0.6588541666666666,38,16,19,0.4823763889427201,1.736842105263158,19,3.3684210526315788,0,0,12,7,0,0,1000,9
